,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-12-01,63.25089821823016,52.17193489694272,76.00237166851464,63.25089821823016,63.25089821823016,0.9135889278172924,0.9135889278172924,0.9135889278172924,0.9135889278172924,0.9135889278172924,0.9135889278172924,0.0,0.0,0.0,64.16448714604745
1,2011-01-01,62.96705803209692,55.026715578204836,78.07287668396242,62.96705803209692,62.96705803209692,3.6086241091094045,3.6086241091094045,3.6086241091094045,3.6086241091094045,3.6086241091094045,3.6086241091094045,0.0,0.0,0.0,66.57568214120633
2,2011-02-01,62.683217845963675,54.69446603505514,77.35366743360072,62.683217845963675,62.683217845963675,3.6579385479810322,3.6579385479810322,3.6579385479810322,3.6579385479810322,3.6579385479810322,3.6579385479810322,0.0,0.0,0.0,66.3411563939447
3,2011-03-01,62.42684606494011,54.845710878554875,77.5696094588721,62.42684606494011,62.42684606494011,3.5644531654035823,3.5644531654035823,3.5644531654035823,3.5644531654035823,3.5644531654035823,3.5644531654035823,0.0,0.0,0.0,65.99129923034369
4,2011-04-01,62.143005878806875,52.292023363197586,75.77388087930296,62.143005878806875,62.143005878806875,2.246884323679188,2.246884323679188,2.246884323679188,2.246884323679188,2.246884323679188,2.246884323679188,0.0,0.0,0.0,64.38989020248606
5,2011-05-01,61.868321823504154,49.74500783154496,72.80001987180762,61.868321823504154,61.868321823504154,-0.6486147200700955,-0.6486147200700955,-0.6486147200700955,-0.6486147200700955,-0.6486147200700955,-0.6486147200700955,0.0,0.0,0.0,61.21970710343406
6,2011-06-01,61.58448163302469,50.470052477012196,74.35557366993756,61.58448163302469,61.58448163302469,0.20664201187504744,0.20664201187504744,0.20664201187504744,0.20664201187504744,0.20664201187504744,0.20664201187504744,0.0,0.0,0.0,61.791123644899734
7,2011-07-01,61.309797577721966,48.91199544999091,72.70527580990756,61.309797577721966,61.309797577721966,-0.5720203243910859,-0.5720203243910859,-0.5720203243910859,-0.5720203243910859,-0.5720203243910859,-0.5720203243910859,0.0,0.0,0.0,60.73777725333088
8,2011-08-01,61.02595738724249,46.412649473561196,70.81287029897379,61.02595738724249,61.02595738724249,-1.9873154702946783,-1.9873154702946783,-1.9873154702946783,-1.9873154702946783,-1.9873154702946783,-1.9873154702946783,0.0,0.0,0.0,59.03864191694782
9,2011-09-01,60.742117198421646,47.24434591458358,69.18662395313918,60.742117198421646,60.742117198421646,-2.575773691422707,-2.575773691422707,-2.575773691422707,-2.575773691422707,-2.575773691422707,-2.575773691422707,0.0,0.0,0.0,58.16634350699894
10,2011-10-01,60.467433144724055,48.22258627425197,71.8510247542479,60.467433144724055,60.467433144724055,0.06466886131084694,0.06466886131084694,0.06466886131084694,0.06466886131084694,0.06466886131084694,0.06466886131084694,0.0,0.0,0.0,60.532102006034904
11,2011-11-01,60.1835929559032,50.38407110334849,72.97018643008165,60.1835929559032,60.1835929559032,1.2077081196518158,1.2077081196518158,1.2077081196518158,1.2077081196518158,1.2077081196518158,1.2077081196518158,0.0,0.0,0.0,61.39130107555502
12,2011-12-01,59.9089089015081,48.367313330195486,71.42351186442843,59.9089089015081,59.9089089015081,0.23847725633068662,0.23847725633068662,0.23847725633068662,0.23847725633068662,0.23847725633068662,0.23847725633068662,0.0,0.0,0.0,60.14738615783879
13,2012-01-01,59.625068711966506,51.129599255453066,74.89028386927029,59.625068711966506,59.625068711966506,3.156496704204308,3.156496704204308,3.156496704204308,3.156496704204308,3.156496704204308,3.156496704204308,0.0,0.0,0.0,62.781565416170814
14,2012-02-01,59.3412285224249,51.319323731924314,73.48935490058815,59.3412285224249,59.3412285224249,2.8642341851540882,2.8642341851540882,2.8642341851540882,2.8642341851540882,2.8642341851540882,2.8642341851540882,0.0,0.0,0.0,62.20546270757899
15,2012-03-01,59.075700603176315,47.51419375117946,70.145865350705,59.075700603176315,59.075700603176315,0.24606102217397888,0.24606102217397888,0.24606102217397888,0.24606102217397888,0.24606102217397888,0.24606102217397888,0.0,0.0,0.0,59.32176162535029
16,2012-04-01,58.79186041022597,48.391713390353445,71.27417440347456,58.79186041022597,58.79186041022597,1.1158945304266958,1.1158945304266958,1.1158945304266958,1.1158945304266958,1.1158945304266958,1.1158945304266958,0.0,0.0,0.0,59.907754940652666
17,2012-05-01,58.51717635253209,47.04204423484363,70.38094558513711,58.51717635253209,58.51717635253209,-0.105789800437503,-0.105789800437503,-0.105789800437503,-0.105789800437503,-0.105789800437503,-0.105789800437503,0.0,0.0,0.0,58.411386552094584
18,2012-06-01,58.233336159581754,47.39586580116976,70.46617383637009,58.233336159581754,58.233336159581754,1.0921343931462437,1.0921343931462437,1.0921343931462437,1.0921343931462437,1.0921343931462437,1.0921343931462437,0.0,0.0,0.0,59.325470552728
19,2012-07-01,57.95865210188789,46.09023094161869,69.00726333163631,57.95865210188789,57.95865210188789,-0.17575261573580084,-0.17575261573580084,-0.17575261573580084,-0.17575261573580084,-0.17575261573580084,-0.17575261573580084,0.0,0.0,0.0,57.78289948615209
